"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"NUOUPUS","197710","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197711","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197712","67","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197713","67","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197801","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197802","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197803","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197804","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197805","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197806","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197807","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197808","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197809","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197810","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197811","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197812","70","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197813","70","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197901","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197902","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197903","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197904","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197905","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197906","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197907","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197908","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197909","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197910","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197911","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197912","69","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197913","69","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198001","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198002","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198003","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198004","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198005","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198006","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198007","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198008","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198009","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198010","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198011","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198012","71","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198013","71","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198101","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198102","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198103","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198104","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198105","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198106","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198107","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198108","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198109","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198110","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198111","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198112","75","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198113","75","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198201","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198202","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198203","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198204","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198205","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198206","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198207","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198208","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198209","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198210","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198211","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198212","78","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198213","78","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198301","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198302","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198303","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198304","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198305","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
