Year,U.S.-origin uranium (weighted-average price),Foreign-origin uranium (weighted-average price),Nuclear Fuel Share (Percent),nuclear_support_pct,nuclear_opposition_pct,republican_nuclear_support_pct,independents_nuclear_support_pct,democrats_nuclear_support_pct,pct_prefer_nonrenewable_energy,pct_prefer_alternative_energy,pct_concern_energy_affordability,nuclear_generation_gwh,percent_favor,percent_oppose,percent_strongly_favor,percent_strongly_oppose,"Nuclear Generating Units, Total Operable Units","Nuclear Generating Units, Net Summer Capacity",Nuclear Electricity Net Generation,Nuclear Share of Electricity Net Generation,"Nuclear Generating Units, Capacity Factor",age_18.0,age_19.0,age_20.0,age_21.0,age_22.0,age_23.0,age_24.0,age_25.0,age_26.0,age_27.0,age_28.0,age_29.0,age_30.0,age_31.0,age_32.0,age_33.0,age_34.0,age_35.0,age_36.0,age_37.0,age_38.0,age_39.0,age_40.0,age_41.0,age_42.0,age_43.0,age_44.0,age_45.0,age_46.0,age_47.0,age_48.0,age_49.0,age_50.0,age_51.0,age_52.0,age_53.0,age_54.0,age_55.0,age_56.0,age_57.0,age_58.0,age_59.0,age_60.0,age_61.0,age_62.0,age_63.0,age_64.0,age_65.0,age_66.0,age_67.0,age_68.0,age_69.0,age_70.0,age_71.0,age_72.0,age_73.0,age_74.0,age_75.0,age_76.0,age_77.0,age_78.0,age_79.0,age_80.0,age_81.0,age_82.0,age_83.0,age_84.0,age_85.0,age_86.0,age_87.0,age_88.0,age_89.0,age_90.0,age_91.0,age_92.0,age_93.0,age_94.0,age_95.0,age_96.0,age_97.0,age_98.0,age_99.0,econ_v_envt_DK,"econ_v_envt_Economic Growth Priority, even if enviornment suffers to some extent",econ_v_envt_Equal Priority (VOL),"econ_v_envt_Protect Environment, even at risk of curbing economic growth",econ_v_envt_REF,educ_College Grad only,educ_DK/REF,educ_HS or Less,educ_Post-grad,educ_Some college,energyserious_DK,energyserious_Fairly serious,energyserious_Not at all serious,energyserious_REF,energyserious_Very serious,engy_v_envt_Both Equally (VOL),engy_v_envt_DK,engy_v_envt_Developing Energy Supplies Given Priority,engy_v_envt_Neither/Other (VOL),"engy_v_envt_Protect Enviornment, even at risk of limiting energy supplies",engy_v_envt_REF,envt1_DK,envt1_Excellent,envt1_Good,envt1_Only Fair,envt1_Poor,envt1_REF,envt2_DK,envt2_Getting Better,envt2_Getting Worse,envt2_REF,envt2_Same (VOL),govprotect_About the right amount,govprotect_DK,govprotect_REF,govprotect_Too little,govprotect_Too much,gw_serious_DK,gw_serious_Generally exaggerated,gw_serious_Generally underestimated,gw_serious_Gennerally correct,gw_serious_REF,gw_understand_DK,gw_understand_Fairly well,gw_understand_Not at all,gw_understand_Not very well,gw_understand_REF,gw_understand_Very well,nucfav_DK,nucfav_REF,nucfav_Somewhat favor,nucfav_Somewhat oppose,nucfav_Strongly favor,nucfav_Strongly oppose,party_DK,party_Democrat,"party_Independent, no lean",party_Lean Democratic,party_Lean Republican,party_Republican,prezjob_energy_DK,prezjob_energy_Fair/Mixed (VOL),prezjob_energy_Good job,prezjob_energy_Poor job,prezjob_energy_REF,religion_Adventists Church,religion_Agnostic,religion_Atheist,religion_Buddhism,religion_Catholic,religion_Christian Science,religion_DK,religion_Hinduism,religion_Jehovahs Witness,religion_Jewish,religion_Mennonite/Amish,religion_Mormon,religion_Muslim,religion_Orthodox,religion_Other,religion_Other Christian,religion_Other Non-Christian,religion_Protestant,religion_REF
1957,,,,,,,,,,,,,,,,,1.0,0.055,10.0,0.0,Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,1.0,0.055,165.0,0.0,Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,,,,2.0,0.055,188.0,0.0,Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,,,,3.0,0.411,518.0,0.1,Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,,,,,,,,,,,,,,,,,3.0,0.411,1692.0,0.2,Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,,,,,,,,,,,,,,,,9.0,0.733,2270.0,0.3,Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,,,,,,,,,,,,,,,,11.0,0.793,3212.0,0.3,Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,,,,,,,,,,,,,,,,,13.0,0.793,3343.0,0.3,Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,,,,,,,,,,,,,,13.0,0.793,3657.0,0.3,Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,,,,14.0,1.679,5520.0,0.5,Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
